game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
No Place for Bravery,Switch,2022/09/22,70,NA,"Glitch, Glitch Factory","Action Adventure, General",12,NA
Serial Cleaners,Xbox Series X,2022/09/22,69,NA,Draw Distance,"Action Adventure, General, Linear",7,NA
Serial Cleaners,PC,2022/09/22,69,7.3,Draw Distance,"Action Adventure, General, Linear",20,12
The DioField Chronicle,Switch,2022/09/22,67,4.1,"Square Enix, Lancarse","Turn-Based, General, Strategy, Real-Time, Tactics",20,53
Session: Skate Sim,PlayStation 5,2022/09/22,67,3.8,Crea-ture Studios,"Sports, Individual, Skate / Skateboard",21,10
No Place for Bravery,PC,2022/09/22,66,NA,"Glitch, Glitch Factory","Action Adventure, General",8,NA
The DioField Chronicle,PC,2022/09/22,66,3.6,"Square Enix, Lancarse","Strategy, Turn-Based, Real-Time, General, Tactics",17,25
Gundam Evolution,PC,2022/09/21,71,5.3,Bandai Namco Games,"Action, Shooter, First-Person, Tactical",8,18
Deathloop,Xbox Series X,2022/09/20,89,7.1,Arkane Studios,"Action, Shooter, First-Person, Arcade",12,170
Wylde Flowers,PC,2022/09/20,84,NA,Studio Drydock Pty Ltd,"Simulation, Adventure, General, Virtual, Virtual Life",8,NA
Soulstice,Xbox Series X,2022/09/20,72,3.1,Reply Game Studios,"Role-Playing, Action RPG",16,49
Soulstice,PlayStation 5,2022/09/20,72,4.6,Reply Game Studios,"Role-Playing, Action RPG",22,67
Soulstice,PC,2022/09/20,68,4.9,Reply Game Studios,"Role-Playing, Action RPG",29,71
Return to Monkey Island,PC,2022/09/19,86,7.4,Terrible Toybox,"Adventure, Point-and-Click",52,188
Return to Monkey Island,Switch,2022/09/19,85,7.8,Terrible Toybox,"Adventure, Point-and-Click",26,52
Wayward Strand,Switch,2022/09/15,83,NA,Ghost Pattern,"Adventure, General",7,NA
Wayward Strand,PC,2022/09/15,79,NA,Ghost Pattern,"Adventure, General",7,NA
Metal: Hellsinger,Xbox Series X,2022/09/15,79,7.9,The Outsiders,"Action, Shooter, First-Person, Arcade",13,31
Metal: Hellsinger,PC,2022/09/15,79,8.1,The Outsiders,"Action, Shooter, First-Person, Arcade",60,58
Metal: Hellsinger,PlayStation 5,2022/09/15,78,7.8,The Outsiders,"Action, Shooter, First-Person, Arcade",12,14
Foretales,PC,2022/09/15,74,NA,Alkemi Games,"Strategy, Turn-Based, Card Battle",12,NA
Blind Fate: Edo no Yami,PC,2022/09/15,54,NA,"Troglobytes Games, S.L.","Action Adventure, General",9,NA
You Suck at Parking,Xbox Series X,2022/09/14,74,6,Happy Volcano,"Racing, Arcade, Automobile",9,6
Voice of Cards: The Beasts of Burden,PlayStation 4,2022/09/13,77,NA,A-lim,"Strategy, Turn-Based, Card Battle",18,NA
Isonzo,Xbox Series X,2022/09/13,74,6,M2H & BlackMill Games,"Action, Shooter, First-Person, Tactical",7,4
Isonzo,PC,2022/09/13,73,6.8,"M2H, M2H & BlackMill Games","Action, Shooter, First-Person, Tactical",7,8
Little Orpheus,PlayStation 4,2022/09/13,68,NA,The Chinese Room,"Action, Platformer, 2D",7,NA
Little Orpheus,PC,2022/09/13,67,5.1,The Chinese Room,"Action, General, Platformer, 2D",8,9
Isonzo,PlayStation 5,2022/09/13,67,4.3,M2H & BlackMill Games,"Action, Shooter, First-Person, Tactical",10,4
Little Orpheus,Switch,2022/09/13,65,NA,Secret Mode,"Action, Platformer, 2D",9,NA
Betrayal At Club Low,PC,2022/09/09,84,NA,Cosmo D Studios,"Adventure, Point-and-Click",10,NA
Splatoon 3,Switch,2022/09/09,83,6.9,Nintendo,"Action, Shooter, Third-Person, Arcade",112,267
NBA 2K23,Xbox Series X,2022/09/09,80,5,Visual Concepts,"Sports, Team, Basketball, Sim",28,28
NBA 2K23,PlayStation 5,2022/09/09,78,5.1,Visual Concepts,"Sports, Team, Basketball, Sim",58,72
Broken Pieces,PC,2022/09/09,66,6.8,Elseware Experience,"Action Adventure, Survival",9,8
Jack Move,PC,2022/09/08,75,8.1,So Romantic,"Role-Playing, Japanese-Style",7,8
Steelrising,Xbox Series X,2022/09/08,74,9.1,Spiders,"Role-Playing, Action RPG",19,201
Steelrising,PlayStation 5,2022/09/08,72,8.3,Spiders,"Role-Playing, Action RPG",59,270
Steelrising,PC,2022/09/08,68,8.8,Spiders,"Role-Playing, Action RPG",19,296
Temtem,PC,2022/09/06,79,7.7,Crema Games,"Role-Playing, Trainer",9,108
Temtem,Switch,2022/09/06,76,7.2,Crema Games,"Role-Playing, Trainer",10,16
Temtem,PlayStation 5,2022/09/06,74,5.3,Crema Games,"Role-Playing, Trainer",9,6
Circus Electrique,PlayStation 5,2022/09/06,71,NA,Zen Studios,"Strategy, Turn-Based, General, Tactics",7,NA
Circus Electrique,PC,2022/09/06,71,NA,Zen Studios,"Strategy, Turn-Based, General, Tactics",9,NA
Circus Electrique,Switch,2022/09/06,70,NA,Zen Studios,"Strategy, Turn-Based, General, Tactics",7,NA
Biomutant,PlayStation 5,2022/09/06,69,8,NA,NA,NA,NA
The Last of Us Part I,PlayStation 5,2022/09/02,88,6.1,Naughty Dog,"Action Adventure, General",114,1395
JoJo's Bizarre Adventure: All-Star Battle R,Xbox Series X,2022/09/02,75,7,CyberConnect2,"Action, Fighting, 3D",9,4
JoJo's Bizarre Adventure: All-Star Battle R,PlayStation 5,2022/09/02,73,7,"CyberConnect2, Bandai Namco Games","Action, Fighting, 3D",28,21
Made in Abyss: Binary Star Falling into Darkness,Switch,2022/09/02,63,5.5,"Spike Chunsoft, Chime","Role-Playing, Action RPG",9,8
Made in Abyss: Binary Star Falling into Darkness,PlayStation 4,2022/09/02,55,3,"Spike Chunsoft, Chime","Role-Playing, Action RPG",8,4
LEGO Brawls,PlayStation 5,2022/09/02,46,4.8,Red Games,"Action, General, Fighting, 2D, 3D",11,5
Gerda: A Flame in Winter,PC,2022/09/01,82,8,PortaPlay,"Adventure, 3D, Third-Person",9,7
ANNO: Mutationem,Switch,2022/09/01,78,NA,ThinkingStars,"Action, Platformer, Metroidvania",7,NA
Ooblets,Switch,2022/09/01,74,6.5,Glumberland,"Role-Playing, Trainer",24,18
Scathe,PC,2022/08/31,61,5.4,DAMAGE STATE LTD,"Action, Shooter, First-Person, Arcade",10,5
Immortality,Xbox Series X,2022/08/30,88,7.1,Sam Barlow,"Adventure, General",14,48
Immortality,PC,2022/08/30,88,6.4,Sam Barlow,"Adventure, General",40,56
Tinykin,Switch,2022/08/30,87,7.8,Splashteam,"Action, Strategy, Real-Time, Platformer, 3D, Command",8,10
Inscryption,PlayStation 5,2022/08/30,87,8.2,Daniel Mullins Games,"Strategy, Turn-Based, Card Battle",7,23
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Switch,2022/08/30,84,7.6,"Konami, Digital Eclipse","Miscellaneous, Compilation",15,13
Tinykin,PlayStation 5,2022/08/30,82,7.1,Splashteam,"Action, Strategy, Real-Time, Platformer, 3D, Command",8,9
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Xbox Series X,2022/08/30,81,8.6,"Konami, Digital Eclipse","Miscellaneous, Compilation",13,5
F1 Manager 2022,Xbox Series X,2022/08/30,80,7.6,Frontier Developments,"Racing, Simulation, Other",11,7
Teenage Mutant Ninja Turtles: The Cowabunga Collection,PlayStation 5,2022/08/30,79,8.1,"Konami, Digital Eclipse","Miscellaneous, Compilation",46,17
Teenage Mutant Ninja Turtles: The Cowabunga Collection,PC,2022/08/30,78,5.8,"Konami, Digital Eclipse","Miscellaneous, Compilation",8,6
Tinykin,PC,2022/08/30,77,8.5,Splashteam,"Action, Strategy, Real-Time, Platformer, 3D, Command",15,17
Destroy All Humans! 2 - Reprobed,Xbox Series X,2022/08/30,72,8.2,Black Forest Games,"Action Adventure, General, Open-World",16,14
Destroy All Humans! 2 - Reprobed,PC,2022/08/30,72,8.3,Black Forest Games,"Action Adventure, General, Open-World",19,27
